TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;12.915.221/0001-79;2022-06-01;637942871.22;3.278568200000;637782050.37;10000.00;150000.00;28
FI;12.915.248/0001-61;2022-06-01;14376435.64;1.162997020000;14332087.36;0.00;0.00;1
FI;12.923.387/0001-37;2022-06-01;56530902.56;2.553885580000;56496743.24;317160.75;175489.48;2471
FI;12.951.504/0001-76;2022-06-01;68755403.31;2.276321000000;68789603.10;0.00;0.00;7
FI;12.951.555/0001-06;2022-06-01;349038.33;0.473528600000;331117.58;0.00;0.00;5
FI;12.952.589/0001-07;2022-06-01;199609356.53;2.959976500000;199438641.13;0.00;0.00;2
FI;12.952.597/0001-53;2022-06-01;44127131.07;1.237722000000;44166999.77;0.00;0.00;1
FI;12.952.687/0001-44;2022-06-01;9381873527.25;22160855.646802802000;9381949663.20;0.00;0.00;1
FI;12.960.221/0001-90;2022-06-01;6919874.03;3.834474100000;6926172.50;0.00;0.00;1
FI;12.969.588/0001-75;2022-06-01;81131401.55;2.648447100000;81128749.13;0.00;0.00;1
FI;12.976.456/0001-70;2022-06-01;831807406.19;5.051866700000;832658531.85;0.00;599383.25;2
FI;12.981.753/0001-04;2022-06-01;31987190.02;2.689655300000;31976780.17;0.00;0.00;3
FI;12.981.768/0001-72;2022-06-01;17634797.31;2.595713200000;17640805.70;0.00;0.00;2
FI;12.981.804/0001-06;2022-06-01;23340220.09;2.918435910000;23347487.31;0.00;0.00;1
FI;12.981.876/0001-45;2022-06-01;52939102.83;25.361415000000;52906698.16;0.00;2700.24;1
FI;12.981.881/0001-58;2022-06-01;52929723.41;2.656305000000;52954684.34;0.00;0.00;1
FI;12.984.454/0001-23;2022-06-01;495233937.71;25.732093000000;495304798.00;5750000.00;0.00;27
FI;12.984.462/0001-70;2022-06-01;346079409.36;3.290802000000;346085285.13;0.00;0.00;1
FI;12.984.486/0001-29;2022-06-01;227625168.15;2.392315000000;227648536.22;0.00;0.00;1
FI;12.984.495/0001-10;2022-06-01;1398491459.82;24.797813000000;1393529674.32;275000.00;17192511.52;29
FI;12.984.505/0001-17;2022-06-01;426328337.79;25.346734000000;425208365.35;4867645.34;2510312.71;114
FI;12.984.518/0001-96;2022-06-01;21133185.07;30.117311000000;20127439.47;0.00;0.00;1
FI;12.984.626/0001-69;2022-06-01;15960611.45;13.577896000000;15818717.34;0.00;0.00;4
FI;12.984.634/0001-05;2022-06-01;401874174.50;31.243921000000;378952741.66;0.00;0.00;4
FI;12.984.676/0001-46;2022-06-01;2992923.82;5.072636000000;2987321.65;0.00;0.00;76
FI;12.984.730/0001-53;2022-06-01;20552388.87;24.467477000000;20596351.59;0.00;0.00;2
FI;12.984.749/0001-08;2022-06-01;51754969.70;24.062652000000;51793132.77;0.00;0.00;1
FI;12.984.759/0001-35;2022-06-01;4315022.99;22.303727000000;4311194.06;0.00;0.00;20
FI;12.984.800/0001-73;2022-06-01;15245039.14;22.725856000000;15219473.29;0.00;8211.88;414
FI;12.987.096/0001-02;2022-06-01;30701671.12;1.496666500000;30707923.75;0.00;0.00;1
FI;12.987.175/0001-13;2022-06-01;64918595.95;3.747590600000;64918450.09;0.00;0.00;1
FI;12.987.189/0001-37;2022-06-01;309466269.03;4.239549500000;309291879.23;0.00;180815.17;3
FI;12.987.198/0001-28;2022-06-01;300989199.54;2.761064800000;299292953.31;0.00;0.00;1
FI;12.987.728/0001-38;2022-06-01;128562529.40;3.510842100000;127322203.11;0.00;0.00;61
FI;12.987.743/0001-86;2022-06-01;1337578250.17;2.783620400000;1337525165.11;33206.48;1239058.89;18476
FI;12.987.745/0001-75;2022-06-01;49160190.61;2.616517500000;50014319.39;0.00;0.00;2
FI;12.987.823/0001-31;2022-06-01;11891071.77;0.800584470000;11890764.07;0.00;0.00;1
FI;12.987.825/0001-20;2022-06-01;14326583.39;3.109464600000;14327982.44;0.00;0.00;1
